t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.11549900,14000.00000000,10700.98746879,4.21542520,246.77915955,-217.63504028,-29.14411163,0.98376477,0.01623523,0.40892464,20.82797783,-11.95107362,-8.87690421,20.82797783,-1.77487254,-9.80484104,-8.36974811,18.78540802,19.15469002,7.36274077
0.11551900,14000.00000000,10707.61709012,4.32752225,266.37738037,-153.96359253,-112.41378021,0.93785518,0.06214482,0.14870694,20.99281368,-8.85135395,-12.14145973,20.99281368,1.89954345,-11.08063126,-9.64203891,17.91380692,18.74400110,7.21024462
0.11553900,14000.00000000,10714.18208931,4.43968825,266.37738037,-153.96359253,-112.41378021,0.93785518,0.06214482,0.14870694,20.68513684,-6.51148272,-14.17365412,20.68513684,4.42375672,-11.08063126,-9.83148275,17.91380692,18.72929407,7.20538561
0.11555900,14000.00000000,10720.74660700,4.55192306,260.38586426,-94.71111298,-165.67474365,0.94381315,0.20402774,0.05618685,19.94382416,-3.91525402,-16.02857014,19.94382416,6.99362632,-11.08063126,-10.09036634,17.91380692,18.57017604,7.14525267
0.11557900,14000.00000000,10727.22129829,4.66422610,260.38586426,-94.71111298,-165.67474365,0.94381315,0.20402774,0.05618685,18.89792532,-1.15328954,-17.74463578,18.89792532,9.57901821,-11.08063126,-10.47773699,17.91380692,18.41483638,7.08708759
0.11559900,14000.00000000,10733.68408383,4.77659682,260.38586426,-94.71111298,-165.67474365,0.94381315,0.20402774,0.05618685,17.79673375,0.55888922,-18.35562296,17.79673375,10.92029870,-11.08063126,-9.75589135,17.91380692,18.46074862,7.10175895
0.11561900,14000.00000000,10740.09566193,4.88903502,241.30223083,-26.44696045,-214.85527039,0.97516406,0.41735324,0.02483594,16.06092785,3.76764858,-19.82857643,16.06092785,13.62328687,-11.08063126,-10.58892204,17.91380692,18.20500147,7.00678648
0.11563900,14000.00000000,10746.47841150,5.00154012,241.30223083,-26.44696045,-214.85527039,0.97516406,0.41735324,0.02483594,14.54431170,5.80126642,-20.34557812,14.54431170,15.09588773,-11.08063126,-10.32205478,17.91380692,18.24494490,7.02106449
0.11565900,14000.00000000,10752.86994463,5.11411216,203.27618408,47.04420471,-250.32038879,0.97249639,0.64701313,0.02750358,12.66849318,8.02839886,-20.69689204,12.66849318,16.58455444,-11.08063126,-10.31079147,17.91380692,18.14457893,6.98239542
0.11567900,14000.00000000,10759.21241066,5.22675083,203.27618408,47.04420471,-250.32038879,0.97249639,0.64701313,0.02750358,10.55687961,10.42239031,-20.97926993,10.55687961,18.12975699,-11.08063126,-10.59012368,17.91380692,18.11035826,6.97036486
0.11569900,14000.00000000,10765.58154900,5.33945602,203.27618408,47.04420471,-250.32038879,0.97249639,0.64701313,0.02750358,9.06700261,11.56305328,-20.63005589,9.06700261,18.58670025,-11.08063126,-9.73035102,17.91380692,18.24818433,7.01988165
0.11571900,14000.00000000,10771.92615205,5.45222787,148.09893799,118.33547974,-266.43441772,0.93180561,0.86979836,0.06819442,6.20902676,14.19639816,-20.40542492,6.20902676,19.97737187,-11.08063126,-10.56889823,17.91380692,18.05396882,6.94857532
0.11573900,14000.00000000,10778.26432253,5.56506603,148.09893799,118.33547974,-266.43441772,0.93180561,0.86979836,0.06819442,4.19859462,15.60110195,-19.79969657,4.19859462,20.43866056,-11.08063126,-10.28628805,17.91380692,18.15376876,6.98583177
0.11575900,14000.00000000,10784.63042038,5.67797078,80.47447205,180.75262451,-261.22711182,0.75148273,0.96039557,0.03960446,1.84646855,17.02102546,-18.86749401,1.84646855,20.72024638,-11.08063126,-10.27004722,17.91380692,18.09044461,6.96139762
