t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.00091900,0.00000000,-4.30015760,-0.00104910,-0.00010749,-0.09837034,0.09847783,0.49999967,0.49979496,0.50020504,0.00001421,0.01097711,-0.01099132,0.00001421,0.01268348,0.00000000,0.00000090,0.01248921,0.01268349,0.00485144
0.00093900,0.00000000,-4.39092951,-0.00109463,-0.00010749,-0.09837034,0.09847783,0.49999967,0.49979496,0.50020504,0.00001484,0.01099523,-0.01101007,0.00001484,0.01270477,0.00000000,0.00000093,0.01248921,0.01270478,0.00485958
0.00095900,0.00000000,-4.48168606,-0.00114111,-0.00012609,-0.10361099,0.10373709,0.49999961,0.49978402,0.50021601,0.00001532,0.01099400,-0.01100932,0.00001532,0.01270363,0.00000000,0.00000082,0.01248921,0.01270363,0.00485914
0.00097900,0.00000000,-4.57245552,-0.00118854,-0.00012609,-0.10361099,0.10373709,0.49999961,0.49978402,0.50021601,0.00001566,0.01097375,-0.01098941,0.00001566,0.01268044,0.00000000,0.00000059,0.01248921,0.01268045,0.00485027
0.00099900,0.00000000,-4.66321474,-0.00123693,-0.00012609,-0.10361099,0.10373709,0.49999961,0.49978402,0.50021601,0.00001633,0.01102959,-0.01104592,0.00001633,0.01274530,0.00000000,0.00000056,0.01248921,0.01274531,0.00487508
0.00101900,0.00000000,-4.75330220,-0.00128626,-0.00002330,-0.02536661,0.02538992,0.49999994,0.49994713,0.50005287,0.00002130,0.01399941,-0.01402072,0.00002130,0.01617743,0.00000000,0.00000050,0.02443499,0.01617744,0.00618787
0.00103900,0.00000000,-4.84212088,-0.00133652,-0.00002330,-0.02536661,0.02538992,0.49999994,0.49994713,0.50005287,0.00002659,0.01702927,-0.01705586,0.00002659,0.01967906,0.00000000,0.00000029,0.02443499,0.01967908,0.00752725
0.00105900,0.00000000,-4.92978334,-0.00138771,-0.00011321,-0.09062703,0.09074023,0.49999964,0.49981108,0.50018895,0.00003038,0.01893261,-0.01896298,0.00003038,0.02187903,0.00000000,0.00000002,0.02443499,0.02187905,0.00836874
0.00107900,0.00000000,-5.01701374,-0.00143982,-0.00011321,-0.09062703,0.09074023,0.49999964,0.49981108,0.50018895,0.00003270,0.01971733,-0.01975003,0.00003270,0.02278649,0.00000000,-0.00000011,0.02443499,0.02278651,0.00871584
0.00109900,0.00000000,-5.10389562,-0.00149283,-0.00011321,-0.09062703,0.09074023,0.49999964,0.49981108,0.50018895,0.00003539,0.02057098,-0.02060637,0.00003539,0.02377375,0.00000000,-0.00000010,0.02443499,0.02377378,0.00909347
0.00111900,0.00000000,-5.19056925,-0.00154676,-0.00015668,-0.11166200,0.11181869,0.49999952,0.49976721,0.50023282,0.00003709,0.02072974,-0.02076682,0.00003709,0.02395805,0.00000000,0.00000003,0.02443499,0.02395808,0.00916397
0.00113900,0.00000000,-5.27715789,-0.00160159,-0.00015668,-0.11166200,0.11181869,0.49999952,0.49976721,0.50023282,0.00003918,0.02096018,-0.02099936,0.00003918,0.02422535,0.00000000,0.00000038,0.02443499,0.02422538,0.00926621
0.00115900,0.00000000,-5.36365087,-0.00165733,-0.00019534,-0.12091616,0.12111150,0.49999940,0.49974790,0.50025213,0.00004099,0.02109386,-0.02113485,0.00004099,0.02438075,0.00000000,0.00000058,0.02443499,0.02438079,0.00932565
0.00117900,0.00000000,-5.45012441,-0.00171397,-0.00019534,-0.12091616,0.12111150,0.49999940,0.49974790,0.50025213,0.00004251,0.02113163,-0.02117414,0.00004251,0.02442525,0.00000000,0.00000065,0.02443499,0.02442528,0.00934267
0.00119900,0.00000000,-5.53656394,-0.00177152,-0.00019534,-0.12091616,0.12111150,0.49999940,0.49974790,0.50025213,0.00004449,0.02124151,-0.02128600,0.00004449,0.02455327,0.00000000,0.00000099,0.02443499,0.02455331,0.00939164
0.00121900,0.00000000,-5.62298836,-0.00182997,-0.00022885,-0.12703724,0.12726609,0.49999928,0.49973509,0.50026488,0.00004586,0.02120102,-0.02124689,0.00004586,0.02450731,0.00000000,0.00000101,0.02443499,0.02450736,0.00937406
0.00123900,0.00000000,-5.70941173,-0.00188933,-0.00022885,-0.12703724,0.12726609,0.49999928,0.49973509,0.50026488,0.00004772,0.02123300,-0.02128072,0.00004772,0.02454530,0.00000000,0.00000134,0.02443499,0.02454535,0.00938860
0.00125900,0.00000000,-5.79581465,-0.00194959,-0.00026589,-0.13231911,0.13258500,0.49999917,0.49972406,0.50027597,0.00004916,0.02124112,-0.02129029,0.00004916,0.02455552,0.00000000,0.00000129,0.02443499,0.02455557,0.00939250
0.00127900,0.00000000,-5.88222754,-0.00201076,-0.00026589,-0.13231911,0.13258500,0.49999917,0.49972406,0.50027597,0.00005022,0.02122574,-0.02127596,0.00005022,0.02453837,0.00000000,0.00000088,0.02443499,0.02453842,0.00938595
0.00129900,0.00000000,-5.96862888,-0.00207284,-0.00026589,-0.13231911,0.13258500,0.49999917,0.49972406,0.50027597,0.00005182,0.02128266,-0.02133447,0.00005182,0.02460501,0.00000000,0.00000082,0.02443499,0.02460507,0.00941144
0.00131900,0.00000000,-6.05502892,-0.00213582,-0.00029360,-0.13737673,0.13767034,0.49999908,0.49971348,0.50028652,0.00005307,0.02122797,-0.02128104,0.00005307,0.02454259,0.00000000,0.00000065,0.02443499,0.02454264,0.00938756
0.00133900,0.00000000,-6.14143391,-0.00219970,-0.00029360,-0.13737673,0.13767034,0.49999908,0.49971348,0.50028652,0.00005488,0.02124576,-0.02130064,0.00005488,0.02456418,0.00000000,0.00000085,0.02443499,0.02456424,0.00939582
0.00135900,0.00000000,-6.22782379,-0.00226449,-0.00033252,-0.14237283,0.14270534,0.49999896,0.49970305,0.50029695,0.00005655,0.02124508,-0.02130163,0.00005655,0.02456436,0.00000000,0.00000093,0.02443499,0.02456442,0.00939589
0.00137900,0.00000000,-6.31422552,-0.00233018,-0.00033252,-0.14237283,0.14270534,0.49999896,0.49970305,0.50029695,0.00005810,0.02122624,-0.02128434,0.00005810,0.02454349,0.00000000,0.00000091,0.02443499,0.02454356,0.00938791
0.00139900,0.00000000,-6.40061705,-0.00239678,-0.00033252,-0.14237283,0.14270534,0.49999896,0.49970305,0.50029695,0.00006027,0.02127966,-0.02133993,0.00006027,0.02460643,0.00000000,0.00000129,0.02443499,0.02460651,0.00941199
0.00141900,0.00000000,-6.48700812,-0.00246428,-0.00037375,-0.14735892,0.14773268,0.49999884,0.49969262,0.50030738,0.00006162,0.02122406,-0.02128568,0.00006162,0.02454301,0.00000000,0.00000114,0.02443499,0.02454309,0.00938773
0.00143900,0.00000000,-6.57340450,-0.00253268,-0.00037375,-0.14735892,0.14773268,0.49999884,0.49969262,0.50030738,0.00006363,0.02124089,-0.02130451,0.00006363,0.02456360,0.00000000,0.00000141,0.02443499,0.02456368,0.00939561
0.00145900,0.00000000,-6.65978614,-0.00260200,-0.00041958,-0.15233365,0.15275323,0.49999869,0.49968219,0.50031781,0.00006539,0.02123929,-0.02130468,0.00006539,0.02456277,0.00000000,0.00000148,0.02443499,0.02456286,0.00939529
0.00147900,0.00000000,-6.74617999,-0.00267221,-0.00041958,-0.15233365,0.15275323,0.49999869,0.49968219,0.50031781,0.00006694,0.02121957,-0.02128651,0.00006694,0.02454090,0.00000000,0.00000137,0.02443499,0.02454099,0.00938693
0.00149900,0.00000000,-6.83256402,-0.00274333,-0.00041958,-0.15233365,0.15275323,0.49999869,0.49968219,0.50031781,0.00006920,0.02127207,-0.02134127,0.00006920,0.02460282,0.00000000,0.00000171,0.02443499,0.02460292,0.00941062
0.00151900,0.00000000,-6.91830816,-0.00281536,-0.00021210,-0.07786801,0.07808012,0.49999934,0.49983755,0.50016242,0.00007991,0.02409791,-0.02417782,0.00007991,0.02787200,0.00000000,0.00000144,0.03581156,0.02787212,0.01066108
0.00153900,0.00000000,-7.00284377,-0.00288827,-0.00021210,-0.07786801,0.07808012,0.49999934,0.49983755,0.50016242,0.00009128,0.02698069,-0.02707197,0.00009128,0.03120732,0.00000000,0.00000114,0.03581156,0.03120745,0.01193685
0.00155900,0.00000000,-7.08627805,-0.00296206,-0.00041453,-0.13996221,0.14037673,0.49999872,0.49970797,0.50029200,0.00009969,0.02879133,-0.02889103,0.00009969,0.03330293,0.00000000,0.00000105,0.03581156,0.03330308,0.01273843
0.00157900,0.00000000,-7.16930072,-0.00303673,-0.00041453,-0.13996221,0.14037673,0.49999872,0.49970797,0.50029200,0.00010521,0.02953736,-0.02964257,0.00010521,0.03416755,0.00000000,0.00000145,0.03581156,0.03416771,0.01306915
0.00159900,0.00000000,-7.25199132,-0.00311226,-0.00041453,-0.13996221,0.14037673,0.49999872,0.49970797,0.50029200,0.00011148,0.03034878,-0.03046027,0.00011148,0.03510812,0.00000000,0.00000222,0.03581156,0.03510830,0.01342892
0.00161900,0.00000000,-7.33448343,-0.00318866,-0.00052040,-0.15996166,0.16048206,0.49999836,0.49966621,0.50033379,0.00011410,0.03049992,-0.03061402,0.00011410,0.03528415,0.00000000,0.00000159,0.03581156,0.03528434,0.01349626
0.00163900,0.00000000,-7.41689444,-0.00326591,-0.00052040,-0.15996166,0.16048206,0.49999836,0.49966621,0.50033379,0.00011754,0.03071906,-0.03083660,0.00011754,0.03553917,0.00000000,0.00000147,0.03581156,0.03553937,0.01359381
0.00165900,0.00000000,-7.49921420,-0.00334404,-0.00058157,-0.16876322,0.16934478,0.49999818,0.49964780,0.50035220,0.00012074,0.03084575,-0.03096649,0.00012074,0.03568731,0.00000000,0.00000140,0.03581156,0.03568752,0.01365048
0.00167900,0.00000000,-7.58151548,-0.00342302,-0.00058157,-0.16876322,0.16934478,0.49999818,0.49964780,0.50035220,0.00012373,0.03088080,-0.03100453,0.00012373,0.03572951,0.00000000,0.00000143,0.03581156,0.03572973,0.01366662
0.00169900,0.00000000,-7.66378444,-0.00350287,-0.00058157,-0.16876322,0.16934478,0.49999818,0.49964780,0.50035220,0.00012759,0.03098427,-0.03111186,0.00012759,0.03585121,0.00000000,0.00000201,0.03581156,0.03585144,0.01371318
0.00171900,0.00000000,-7.74603905,-0.00358357,-0.00064479,-0.17456605,0.17521085,0.49999797,0.49963564,0.50036436,0.00012982,0.03094529,-0.03107512,0.00012982,0.03580750,0.00000000,0.00000150,0.03581156,0.03580774,0.01369646
0.00173900,0.00000000,-7.82829263,-0.00366514,-0.00064479,-0.17456605,0.17521085,0.49999797,0.49963564,0.50036436,0.00013297,0.03097506,-0.03110803,0.00013297,0.03584369,0.00000000,0.00000160,0.03581156,0.03584393,0.01371030
0.00175900,0.00000000,-7.91052671,-0.00374757,-0.00070434,-0.17957677,0.18028112,0.49999779,0.49962515,0.50037485,0.00013598,0.03098228,-0.03111826,0.00013598,0.03585377,0.00000000,0.00000161,0.03581156,0.03585402,0.01371416
0.00177900,0.00000000,-7.99277005,-0.00383086,-0.00070434,-0.17957677,0.18028112,0.49999779,0.49962515,0.50037485,0.00013886,0.03096730,-0.03110616,0.00013886,0.03583812,0.00000000,0.00000157,0.03581156,0.03583839,0.01370819
0.00179900,0.00000000,-8.07500215,-0.00391502,-0.00070434,-0.17957677,0.18028112,0.49999779,0.49962515,0.50037485,0.00014271,0.03102088,-0.03116360,0.00014271,0.03590223,0.00000000,0.00000216,0.03581156,0.03590251,0.01373271
0.00181900,0.00000000,-8.15723283,-0.00400003,-0.00076986,-0.18437800,0.18514785,0.49999759,0.49961507,0.50038493,0.00014504,0.03096853,-0.03111358,0.00014504,0.03584312,0.00000000,0.00000167,0.03581156,0.03584342,0.01371011
