t,id_ref,iq_ref,id,iq,ia,ib,ic,vd_cmd,vq_cmd,va_ref,vb_ref,vc_ref,da,db,dc,va,vb,vc,torque_e,omega_m
0.001750000,0.000000000,2.187500000,0.000181245,1.986091648,-0.006561420,1.723277153,-1.716715733,-0.004434177,0.523976951,-0.006213023,0.456868210,-0.450655188,0.499870562,0.509518088,0.490611350,-0.006213023,0.456868210,-0.450655188,0.312809435,1.360343906
0.001800000,0.000000000,2.250000000,0.000197589,2.048465500,-0.007771872,1.777896338,-1.770124466,-0.004942316,0.539025642,-0.007039332,0.470309381,-0.463270049,0.499853347,0.509798112,0.490348541,-0.007039332,0.470309381,-0.463270049,0.322633316,1.471853916
0.001850000,0.000000000,2.312500000,0.000214782,2.110840818,-0.009127185,1.832588285,-1.823461100,-0.005486617,0.554503632,-0.007940634,0.484158817,-0.476218183,0.499834570,0.510086642,0.490078788,-0.007940634,0.484158817,-0.476218183,0.332457429,1.587453059
0.001900000,0.000000000,2.375000000,0.000232851,2.173217579,-0.010637883,1.887358035,-1.876720152,-0.006068309,0.570410926,-0.008921506,0.498418637,-0.489497131,0.499814135,0.510383722,0.489802143,-0.008921506,0.498418637,-0.489497131,0.342281769,1.707141262
0.001950000,0.000000000,2.437500000,0.000251820,2.235595760,-0.012314845,1.942210781,-1.929895937,-0.006688620,0.586747522,-0.009986721,0.513091031,-0.503104310,0.499791943,0.510689396,0.489518660,-0.009986721,0.513091031,-0.503104310,0.352106332,1.830918447
0.002000000,0.000000000,2.500000000,0.000271718,2.297975345,-0.014169306,1.997151861,-1.982982555,-0.007348782,0.603513416,-0.011141258,0.528178264,-0.517037007,0.499767890,0.511003714,0.489228396,-0.011141258,0.528178264,-0.517037007,0.361931117,1.958784537
0.002050000,0.000000000,2.562500000,0.000292572,2.360356317,-0.016212858,2.052186755,-2.035973897,-0.008050028,0.620708603,-0.012390302,0.543682677,-0.531292375,0.499741869,0.511326722,0.488931409,-0.012390302,0.543682677,-0.531292375,0.371756120,2.090739452
0.002100000,0.000000000,2.625000000,0.000314410,2.422738660,-0.018457449,2.107321079,-2.088863630,-0.008793590,0.638333075,-0.013739255,0.559606686,-0.545867431,0.499713766,0.511658473,0.488627762,-0.013739255,0.559606686,-0.545867431,0.381581339,2.226783113
0.002150000,0.000000000,2.687500000,0.000337264,2.485122361,-0.020915380,2.162560582,-2.141645202,-0.009580706,0.656386821,-0.015193739,0.575952788,-0.560759048,0.499683464,0.511999016,0.488317520,-0.015193739,0.575952788,-0.560759048,0.391406772,2.366915439
0.002200000,0.000000000,2.750000000,0.000361162,2.547507406,-0.023599310,2.217911141,-2.194311831,-0.010412611,0.674869832,-0.016759606,0.592723556,-0.575963950,0.499650842,0.512348407,0.488000751,-0.016759606,0.592723556,-0.575963950,0.401232416,2.511136347
0.002250000,0.000000000,2.812500000,0.000386136,2.609893783,-0.026522254,2.273378758,-2.246856505,-0.011290547,0.693782098,-0.018442937,0.609921644,-0.591478706,0.499615772,0.512706701,0.487677527,-0.018442937,0.609921644,-0.591478706,0.411058271,2.659445756
0.002300000,0.000000000,2.875000000,0.000412219,2.672281479,-0.029697579,2.328969550,-2.299271971,-0.012215753,0.713123606,-0.020250055,0.627549782,-0.607299727,0.499578124,0.513073954,0.487347922,-0.020250055,0.627549782,-0.607299727,0.420884333,2.811843581
0.002350000,0.000000000,2.937500000,0.000439443,2.734670483,-0.033139010,2.384689748,-2.351550738,-0.013189472,0.732894345,-0.022187527,0.645610782,-0.623423255,0.499537760,0.513450225,0.487012016,-0.022187527,0.645610782,-0.623423255,0.430710601,2.968329738
0.002400000,0.000000000,3.000000000,0.000467843,2.797060783,-0.036860625,2.440545691,-2.403685065,-0.014212949,0.753094302,-0.024262171,0.664107532,-0.639845361,0.499494538,0.513835574,0.486669888,-0.024262171,0.664107532,-0.639845361,0.440537073,3.128904143
0.002450000,0.000000000,3.062500000,0.000497453,2.859452370,-0.040876858,2.496543816,-2.455666958,-0.015287428,0.773723465,-0.026481060,0.683042997,-0.656561936,0.499448311,0.514230062,0.486321626,-0.026481060,0.683042997,-0.656561936,0.450363748,3.293566708
0.002500000,0.000000000,3.125000000,0.000528308,2.921845232,-0.045202494,2.552690658,-2.507488164,-0.016414157,0.794781820,-0.028851532,0.702420219,-0.673568686,0.499398926,0.514633755,0.485967319,-0.028851532,0.702420219,-0.673568686,0.460190624,3.462317349
0.002550000,0.000000000,3.187500000,0.000560445,2.984239359,-0.049852674,2.608992838,-2.559140164,-0.017594387,0.816269355,-0.031381192,0.722242316,-0.690861124,0.499346225,0.515046715,0.485607060,-0.031381192,0.722242316,-0.690861124,0.470017699,3.635155977
0.002600000,0.000000000,3.250000000,0.000593901,3.046634742,-0.054842891,2.665457059,-2.610614168,-0.018829366,0.838186056,-0.034077917,0.742512479,-0.708434562,0.499290043,0.515469010,0.485240947,-0.034077917,0.742512479,-0.708434562,0.479844972,3.812082504
